索引,名称,窃熔援,鹃趣逝,固杏落,流框,问划,步蜡晋,争赔囊,颂绿羚,切钮抽,辩瓶,呼爆,总数
id,name,come,situation,totalervertebral_disk,fort,night,suburb_shorts,shove,muse,tender_poke,member,dock,total
1,记屏,811,563,764,609,436,184,737,858,318,264,60,5604
2,腊惟栈,296,135,800,574,282,684,113,123,617,799,870,5293
3,白余斯,462,849,676,749,309,201,907,907,527,905,433,6925
4,忘珊,241,67,514,553,992,621,813,647,326,374,69,5217
5,彰荧,154,998,456,947,934,727,326,631,791,481,71,6516
6,良且,119,69,228,861,128,471,82,191,358,81,88,2676
7,闻风,730,731,385,268,573,593,321,498,431,651,759,5940
8,膛大,796,867,13,375,908,453,859,168,390,511,489,5829
9,兽碳遇,839,981,571,342,800,31,248,616,837,860,202,6327
10,猎观,441,592,16,330,54,138,176,927,878,872,558,4982
11,掠柔,867,896,231,870,606,883,248,95,979,949,784,7408
12,苹掐,345,13,418,818,549,270,307,573,643,75,934,4945
13,迈粘绘,786,357,52,280,626,818,154,17,470,47,295,3902
14,译少,698,266,402,509,701,822,100,205,363,431,271,4768
15,拄渤冥,380,633,666,658,793,215,469,192,922,86,386,5400
16,浇浅,204,144,756,927,379,715,313,129,580,835,643,5625
17,锈鸵,205,897,151,419,770,315,321,732,649,355,258,5072
18,伟臀辫,10,974,103,930,275,391,952,362,840,72,561,5470
19,甥美赛,771,333,293,176,781,552,422,538,190,965,895,5916
20,屋妮,872,199,370,508,156,357,445,949,978,965,920,6719
21,赵熙古,789,507,103,337,724,381,133,431,345,671,356,4777
22,筑满疙,113,279,95,658,934,257,930,827,751,382,931,6157
23,儒永,618,126,821,212,788,766,826,354,908,209,549,6177
24,悖黎样,420,775,929,631,239,41,182,354,355,232,579,4737
25,您育,269,868,344,465,865,1,463,587,68,166,935,5031
26,癌壳,244,619,712,734,74,97,222,989,498,150,603,4942
27,寡贰,813,951,965,645,909,299,406,343,45,283,815,6474
28,棱趣,851,243,81,516,70,465,115,526,429,374,47,3717
29,肠香哉,335,843,863,472,603,233,304,852,780,350,229,5864
30,屋近,747,440,730,984,104,238,910,877,39,479,431,5979
31,缰盹,867,49,941,415,591,915,754,955,861,575,541,7464
32,酱吏,202,193,638,663,79,252,757,76,828,99,359,4146
33,霹橡吼,722,798,671,961,779,179,142,523,950,946,521,7192
34,牡荡欠,469,779,659,693,269,523,362,740,571,687,398,6150
35,洼悼,501,468,487,948,896,714,891,708,37,363,173,6186
36,赘驾,638,252,36,583,390,987,716,826,355,902,394,6079
37,啦微沦,462,262,357,151,995,699,368,967,290,606,127,5284
38,屁稀鹏,465,416,239,434,766,66,971,383,542,291,588,5161
39,窿浆赖,558,763,699,93,817,681,974,420,338,29,869,6241
40,吱舆吠,229,320,458,774,881,574,481,214,818,200,20,4969
41,话哑,698,531,874,853,895,563,961,310,318,522,459,6984
42,腹敬劣,574,394,11,558,863,619,654,377,562,300,520,5432
43,脖绝罢,582,621,974,486,457,44,479,189,956,572,185,5545
44,呢消,296,506,43,555,491,457,682,336,425,504,503,4798
45,飞浓,725,834,428,213,984,931,676,767,959,927,378,7822
46,弥幌幢,351,621,53,158,805,66,35,964,118,168,237,3576
47,混巅腥,293,724,37,676,675,155,822,699,728,978,503,6290
48,粪欺秸,324,309,865,743,39,675,505,18,721,110,388,4697
49,描作蕊,135,793,79,173,843,65,411,41,679,898,767,4884
50,闽畴友,220,126,75,125,775,165,523,776,380,794,852,4811
51,宦撑,874,280,718,619,142,430,770,938,818,227,169,5985
52,含葱,172,251,27,126,956,863,972,627,896,63,887,5840
53,书晋,118,382,902,241,331,740,536,484,85,91,581,4491
54,罩怖,380,906,321,512,221,534,125,583,424,6,680,4692
55,匠章,131,603,888,191,681,687,583,83,223,869,131,5070
56,膜所橡,289,122,810,392,97,285,363,918,572,757,93,4698
57,葡宿溜,454,554,393,215,914,164,200,558,200,625,400,4677
58,码厦铜,184,506,520,847,103,691,200,453,840,567,169,5080
59,篷著,462,969,178,12,301,801,466,107,784,629,151,4860
60,粘露阴,352,531,882,620,733,347,950,370,605,585,59,6034
61,读泣,496,737,919,550,63,182,239,794,867,922,806,6575
62,应搬仑,601,475,169,797,441,814,828,386,85,521,472,5589
63,船睹,69,230,941,562,555,202,385,764,149,997,33,4887
64,刨奸亿,184,585,878,812,960,836,588,356,422,442,441,6504
