索引,名称,辉严痕,玷聂,荒噩细,顾钠,陈祸,扁鸿,曝俩,休鞋榆,罕护比,拥蒋登,总数
id,name,throat,lame,index,salmon,mush,sari,up,expectation,palace_racial,adjoin,total
1,鸯扎掠,52,20,116,14,751,823,440,255,694,4,3169
2,秧映姑,759,809,877,484,340,295,931,897,631,730,6753
3,漏芦初,19,462,726,522,10,728,681,842,846,463,5299
4,圈排,400,516,199,444,778,771,129,170,823,475,4705
5,掷虫,803,656,906,166,210,599,705,954,722,60,5781
6,懂矢,612,839,888,700,140,10,948,889,687,731,6444
7,徙坛由,564,759,354,740,409,406,739,903,13,186,5073
8,跛阀,305,641,909,542,745,369,804,594,951,868,6728
9,鳍尸,189,127,80,141,60,984,57,85,209,921,2853
10,尖渠,470,929,177,15,779,852,11,188,797,867,5085
11,乍轴,610,634,255,981,647,991,106,870,88,945,6127
12,唆忘,81,196,653,748,55,638,218,74,127,57,2847
13,捌须遍,570,767,603,143,51,232,405,921,474,348,4514
14,望仿,834,104,566,366,518,426,654,613,79,285,4445
15,技兆贯,820,311,772,555,211,881,653,443,179,705,5530
16,具烤,193,267,193,733,514,977,358,879,375,628,5117
17,报格踩,98,947,314,846,490,795,25,898,909,321,5643
18,曙刁哮,353,459,974,861,316,291,459,65,124,544,4446
19,拥棍,166,449,531,860,214,558,605,570,451,550,4954
20,陋杯己,738,348,855,550,672,526,559,43,731,220,5242
21,撞爬讶,211,980,414,154,312,223,47,538,342,415,3636
22,胆男,919,502,884,91,92,474,486,294,994,680,5416
23,兹伊,272,520,691,842,475,55,508,186,874,390,4813
24,熄滔戏,671,544,802,379,422,879,163,3,839,699,5401
25,典寸,623,155,581,41,394,80,827,949,579,61,4290
26,降芒,184,603,478,425,210,666,248,656,770,937,5177
27,救惜,175,706,519,406,223,546,102,684,997,263,4621
28,裙溯畏,455,556,298,63,701,22,666,981,810,575,5127
29,珊挟,751,132,92,244,7,453,660,749,422,616,4126
30,沽秃衰,377,139,336,382,542,591,539,188,681,148,3923
31,窘惟患,71,799,246,76,985,593,413,507,603,819,5112
32,诈降些,182,121,34,34,140,589,678,562,625,388,3353
33,歌蔽崇,383,713,612,324,68,536,851,23,250,653,4413
34,蝉冈,752,167,234,38,420,6,646,829,825,298,4215
35,济陨,729,378,201,188,425,133,779,223,33,584,3673
36,壤狱雁,110,766,357,471,792,100,138,944,727,132,4537
37,捺代饿,608,888,385,819,755,461,759,410,151,266,5502
38,夯为俄,520,741,104,813,207,285,515,370,66,821,4442
39,跋斑,524,491,342,51,1,708,402,41,241,346,3147
40,矾英执,325,339,527,585,49,335,902,238,66,36,3402
41,娟道,519,962,41,257,941,716,980,359,479,131,5385
42,五蕴,436,191,229,292,532,202,320,893,569,181,3845
43,黎隋刨,74,956,716,947,518,615,262,603,803,50,5544
44,谷魄墙,513,612,385,876,185,477,899,507,744,719,5917
45,怎四缉,212,876,230,772,355,518,52,495,610,406,4526
46,廷峡蔑,595,628,29,134,612,702,643,667,950,668,5628
47,钳臼,9,983,537,103,105,485,962,882,687,91,4844
48,憾姿蟀,989,835,951,272,941,204,56,428,968,694,6338
49,卧夜,246,252,830,907,322,245,716,443,869,97,4927
50,屑麻,106,763,857,283,369,840,115,269,754,702,5058
51,硝材葡,548,880,94,844,758,487,656,123,292,960,5642
52,让株,437,777,95,957,641,396,595,521,579,959,5957
53,驻悯,501,96,521,702,258,826,770,363,753,336,5126
54,忙浊囱,497,393,690,174,936,25,284,103,44,224,3370
55,担腮静,927,481,566,57,922,820,694,612,665,72,5816
56,掉煽,523,113,230,294,273,797,606,551,339,710,4436
57,哺青,70,538,402,821,136,645,523,714,984,765,5598
58,敦瓣,917,662,521,857,870,858,904,399,344,469,6801
59,默入礁,233,423,689,499,778,969,749,424,185,4,4953
60,胞红,418,235,138,510,48,455,882,518,889,451,4544
61,捆抹,872,808,379,739,445,439,53,776,988,917,6416
62,众牡氓,158,304,852,213,436,618,286,725,818,672,5082
63,免创,72,690,266,816,314,157,534,972,998,156,4975
64,庸梧,967,259,768,822,8,861,515,824,849,161,6034
65,果宗,606,65,375,642,650,845,635,485,809,791,5903
66,匙级创,791,654,685,854,319,539,763,374,283,160,5422
67,她沥,101,314,347,404,326,705,232,659,84,573,3745
68,塔架,611,118,282,558,472,152,896,842,3,566,4500
69,花塑,794,112,406,239,255,547,765,864,303,79,4364
